dp rate,dp execution time,dp execution time(matching+blocking),local rate,local execution time,local execution time(matching+blocking),d1-d2
0.3513,0.21,0.21,0.0,0.26,0.26,"('year4', 'year4')"
0.3335,0.18,0.18,0.0,0.26,0.26,"('year4', 'auth4')"
0.0282,0.18,0.18,0.0,0.25,0.25,"('year4', 'titl4')"
0.3353,0.18,0.18,0.0,0.25,0.25,"('auth4', 'year4')"
0.3184,0.18,0.18,0.0,0.26,0.26,"('auth4', 'auth4')"
0.0032,0.18,0.18,0.0,0.25,0.25,"('auth4', 'titl4')"
0.0258,0.21,0.21,0.0,0.27,0.27,"('titl4', 'year4')"
0.0018,0.24,0.24,0.0,0.32,0.32,"('titl4', 'auth4')"
0.0006,0.24,0.24,0.0,0.33,0.33,"('titl4', 'titl4')"
